Date,Open,High,Low,Close,Adj Close,Volume
2023-03-07,125.180000,125.209999,124.845100,125.000000,123.659424,7380
2023-03-08,124.989998,125.230003,124.830002,125.139999,123.797920,46863
2023-03-09,125.059998,125.199997,124.949997,125.139999,123.797920,74876
2023-03-10,125.400002,125.830002,125.309402,125.620003,124.272781,36918
2023-03-13,126.800003,126.944298,125.702499,126.309998,124.955376,37783
2023-03-14,127.720001,127.720001,125.879997,125.879997,124.529984,25420
2023-03-15,126.019997,126.860001,125.891602,126.610001,125.252159,29959
2023-03-16,126.199997,126.831200,126.190002,126.434998,125.079033,20185
2023-03-17,126.360001,127.029999,126.290001,126.809998,125.450012,52607
2023-03-20,125.919998,128.306061,125.919998,126.885002,125.524208,36160
2023-03-21,126.919998,126.919998,126.349998,126.750000,125.390656,20977
2023-03-22,126.790001,126.790001,125.949997,126.000000,124.648697,31286
2023-03-23,126.139999,126.760002,126.139999,126.730003,125.370872,17705
2023-03-24,126.879997,127.540001,126.870003,126.959999,125.598404,32217
2023-03-27,126.889999,126.889999,126.360001,126.589996,125.232368,14323
2023-03-28,126.580002,126.589996,126.290001,126.550003,125.192802,36875
2023-03-29,126.459999,126.550003,126.220001,126.394997,125.039459,21294
2023-03-30,127.279999,127.279999,126.199997,126.220001,124.866341,16669
2023-03-31,126.360001,126.370003,126.029999,126.250000,124.896019,18579
2023-04-03,126.269997,126.550003,126.000000,126.540001,125.182907,32515
2023-04-04,126.519997,126.620003,126.239998,126.559998,125.202690,11312
2023-04-05,126.580002,126.750298,126.370003,126.684998,125.326347,20215
2023-04-06,126.760002,126.809998,126.610001,126.690002,125.331299,14588
2023-04-11,126.690002,126.779999,126.019997,126.279999,124.925697,14174
2023-04-12,126.440002,126.650002,126.120003,126.190002,124.836662,30389
2023-04-13,126.389999,126.459999,126.199997,126.300003,124.945488,24254
2023-04-14,126.320000,126.349998,126.010002,126.080002,124.727844,41974
2023-04-17,126.120003,126.139999,125.910004,125.949997,124.599236,15026
2023-04-18,125.949997,125.949997,125.779999,125.860001,124.510201,22037
2023-04-19,125.540001,125.559998,125.398102,125.485001,124.139221,31681
2023-04-20,125.599998,125.790001,125.471298,125.790001,124.440956,11473
2023-04-21,125.980003,125.980003,125.669998,125.745003,124.396439,23152
2023-04-24,125.660004,125.906601,125.540001,125.680000,124.332130,21713
2023-04-25,125.639999,125.980003,125.639999,125.959999,124.609131,92141
2023-04-26,125.919998,126.110001,125.839996,125.955002,124.604187,10405
2023-04-27,126.290001,126.290001,125.750000,125.775002,124.426117,17111
2023-04-28,126.209999,126.500000,125.739998,125.919998,124.569557,31472
