Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,731.500000,743.500000,729.700012,736.500000,736.211548,2742787
2023-01-04,738.599976,741.900024,736.500000,739.700012,739.410339,2577486
2023-01-05,739.799988,746.500000,736.799988,743.900024,743.608704,3453324
2023-01-06,746.200012,750.900024,745.106018,750.799988,750.505920,2432027
2023-01-09,751.599976,753.200012,749.594971,752.799988,752.505188,4491004
2023-01-10,749.900024,752.200012,749.599976,750.400024,750.106201,1775754
2023-01-11,751.200012,758.000000,750.799988,753.599976,753.304932,3928475
2023-01-12,755.900024,761.799988,755.700012,760.599976,760.302124,2031796
2023-01-13,761.500000,767.400024,761.500000,765.299988,765.000244,2552414
2023-01-16,765.799988,767.500000,765.500000,766.799988,766.499756,1603786
2023-01-17,765.500000,768.500000,763.900024,765.900024,765.600098,976948
2023-01-18,765.500000,767.599976,763.500000,764.299988,764.000610,3255675
2023-01-19,760.900024,763.401978,754.099976,756.400024,756.103821,2365922
2023-01-20,760.299988,760.599976,756.200012,758.000000,757.703186,5630576
2023-01-23,759.299988,761.900024,758.200012,759.500000,759.202576,1672865
2023-01-24,760.900024,761.099976,755.299988,756.900024,756.603638,1539703
2023-01-25,758.299988,758.400024,752.299988,755.299988,755.004211,1835739
2023-01-26,757.599976,759.500000,756.000000,757.400024,757.103455,2072108
2023-01-27,758.799988,759.200012,755.400024,757.599976,757.303284,1780526
2023-01-30,753.599976,759.700012,752.979980,759.099976,758.802673,2459867
2023-01-31,757.299988,758.500000,751.799988,758.099976,757.803101,3727938
2023-02-01,758.700012,760.799988,755.380005,757.099976,756.803528,1624693
2023-02-02,759.099976,764.400024,758.179993,762.500000,762.201416,2327201
2023-02-03,762.299988,771.039978,761.700012,770.900024,770.598145,2162681
2023-02-06,767.400024,767.700012,761.299988,764.000000,763.700867,2006115
2023-02-07,765.299988,769.200989,764.742004,766.400024,766.099854,2485388
2023-02-08,770.900024,773.601013,768.000000,768.400024,768.099121,3338212
2023-02-09,771.400024,775.067017,771.000000,771.200012,770.898010,1525874
2023-02-10,769.200012,771.500000,765.299988,768.099976,767.799194,4872951
2023-02-13,769.799988,774.599976,768.700012,774.599976,774.296631,2541937
2023-02-14,776.000000,779.599976,775.099976,775.299988,774.996399,2043981
2023-02-15,774.799988,780.065979,772.400024,779.200012,778.894897,2655582
2023-02-16,783.599976,785.400024,778.799988,782.000000,781.693787,3359098
2023-02-17,778.599976,781.849976,776.799988,780.799988,780.494202,2988555
2023-02-20,782.400024,782.900024,780.289978,781.900024,781.593811,1931175
2023-02-21,780.200012,782.583984,776.275024,778.099976,777.795288,2865877
2023-02-22,774.200012,775.489990,769.200012,774.000000,773.696838,3185626
2023-02-23,774.099976,776.500000,772.000000,774.200012,773.896851,2899730
2023-02-24,775.299988,777.000000,770.099976,770.400024,770.098267,2491226
2023-02-27,774.299988,777.940002,774.000000,776.200012,775.896057,1149633
2023-02-28,773.200012,774.216003,768.400024,770.000000,769.698486,4568042
2023-03-01,772.799988,777.900024,772.200012,774.500000,774.196655,1533265
2023-03-02,773.400024,779.000000,772.078003,778.900024,778.594971,2299410
2023-03-03,780.099976,781.900024,776.900024,779.000000,778.694946,2258734
2023-03-06,778.900024,779.622009,774.489990,777.200012,776.895630,2539049
2023-03-07,777.099976,780.700012,775.700012,776.299988,775.995972,2511180
2023-03-08,773.900024,779.500000,773.799988,777.700012,777.395447,5754615
2023-03-09,776.599976,776.700012,772.000000,773.500000,773.197021,4192742
2023-03-10,760.900024,763.700012,756.799988,760.200012,759.902344,5284339
2023-03-13,759.900024,760.900024,741.000000,741.000000,740.709778,3535097
2023-03-14,741.500000,750.500000,736.737000,750.200012,749.906189,2962284
2023-03-15,748.599976,748.599976,720.789001,721.599976,721.317383,8607854
2023-03-16,728.000000,730.299988,717.099976,724.900024,724.659180,4794246
2023-03-17,730.599976,734.900024,715.400024,717.900024,717.661438,3638998
2023-03-20,712.900024,726.500000,705.174011,724.799988,724.559143,3411033
2023-03-21,728.500000,739.179016,727.099976,737.200012,736.955017,3082746
2023-03-22,734.900024,742.200012,734.299988,740.299988,740.053955,1998211
2023-03-23,739.400024,739.570007,732.078003,734.500000,734.255920,2143373
2023-03-24,731.000000,731.799988,718.575012,726.000000,725.758728,5795166
2023-03-27,732.200012,733.780029,728.000000,731.799988,731.556763,2090371
2023-03-28,736.599976,737.275024,731.099976,732.799988,732.556458,3578697
2023-03-29,734.700012,740.799988,734.299988,740.599976,740.353882,1520710
2023-03-30,742.200012,748.479980,741.979980,747.500000,747.251587,1834697
2023-03-31,747.299988,750.000000,746.500000,748.700012,748.451233,2602679
2023-04-03,751.500000,754.500000,750.900024,751.599976,751.350220,3444876
2023-04-04,755.799988,757.000000,747.400024,747.799988,747.551514,4629319
2023-04-05,749.200012,751.900024,747.927979,750.400024,750.150696,3871759
2023-04-06,751.700012,758.599976,751.559998,758.299988,758.047974,2472615
2023-04-11,762.200012,765.260010,759.900024,762.000000,761.746704,3409007
2023-04-12,762.900024,769.799988,762.799988,766.099976,765.845398,2117438
2023-04-13,766.099976,769.700012,765.599976,769.099976,768.844360,2908718
2023-04-14,770.599976,774.770020,769.700012,771.700012,771.443481,1434580
2023-04-17,774.700012,775.900024,771.799988,772.599976,772.343201,1589278
2023-04-18,774.599976,775.900024,772.599976,775.200012,774.942383,1105936
2023-04-19,772.900024,774.546021,771.400024,774.099976,773.842712,1176551
2023-04-20,774.000000,775.500000,772.299988,775.500000,775.242249,1630466
2023-04-21,773.599976,779.000000,773.000000,776.299988,776.041992,2363259
2023-04-24,773.500000,777.799988,772.400024,776.299988,776.041992,1499534
2023-04-25,773.700012,776.200012,771.700012,774.000000,773.742737,1844869
2023-04-26,772.200012,774.500000,768.000000,770.599976,770.343933,2349759
2023-04-27,769.700012,772.200012,767.599976,768.900024,768.644531,1944149
2023-04-28,770.099976,773.200012,765.080017,773.200012,772.943054,1465269
2023-05-02,773.000000,776.000000,763.099976,763.099976,762.846375,2025453
2023-05-03,765.400024,767.900024,763.299988,764.799988,764.545837,1477053
2023-05-04,763.599976,765.500000,756.099976,756.799988,756.548462,2395019
2023-05-05,760.599976,764.700012,758.612000,764.400024,764.145996,1539315
2023-05-09,764.299988,766.200012,759.979980,762.599976,762.346558,2093208
2023-05-10,763.400024,764.645020,759.065002,760.700012,760.447205,2399806
2023-05-11,761.900024,766.096008,755.799988,760.900024,760.647156,3607140
2023-05-12,762.799988,764.900024,761.599976,763.099976,762.846375,2739711
2023-05-15,766.099976,767.400024,763.599976,765.200012,764.945679,1736684
2023-05-16,764.299988,767.736023,761.500000,762.400024,762.146667,2858300
2023-05-17,760.000000,763.567993,758.700012,760.400024,760.147278,2910724
2023-05-18,764.700012,766.435974,761.599976,763.099976,762.846375,3339914
2023-05-19,765.700012,767.934998,763.700012,764.700012,764.445862,1625405
2023-05-22,765.599976,767.299988,763.799988,766.299988,766.045349,5187872
2023-05-23,764.799988,768.900024,763.200012,764.799988,764.545837,1787299
2023-05-24,758.200012,758.799988,748.395020,751.700012,751.450195,6267116
2023-05-25,751.599976,751.929993,746.299988,746.299988,746.051941,4117869
2023-05-26,750.200012,753.799988,745.000000,752.200012,751.950012,1531203
2023-05-30,752.700012,752.968018,740.770020,741.700012,741.453491,2769615
2023-05-31,737.200012,741.599976,734.200012,734.200012,733.955994,3265109
2023-06-01,736.599976,740.299988,734.901001,739.700012,739.454224,1470614
2023-06-02,742.599976,751.799988,742.099976,750.599976,750.350525,1892067
2023-06-05,754.799988,755.700012,749.799988,750.299988,750.050659,2480476
2023-06-06,749.400024,753.900024,746.099976,753.599976,753.349548,4712601
2023-06-07,752.500000,754.205017,750.599976,753.200012,752.949707,1934413
2023-06-08,754.200012,755.107971,749.900024,750.799988,750.550476,1931446
2023-06-09,753.000000,753.000000,745.599976,747.000000,746.751709,1569703
2023-06-12,751.400024,751.700012,746.400024,747.599976,747.351563,1383441
2023-06-13,749.700012,875.864014,746.640015,750.099976,749.850647,5034315
2023-06-14,749.700012,754.760010,748.280029,751.099976,750.850403,2358054
2023-06-15,740.799988,743.500000,738.799988,743.099976,742.955872,1892512
2023-06-16,744.000000,749.099976,744.000000,744.000000,743.855713,2682132
2023-06-19,739.799988,742.799988,738.500000,738.799988,738.656738,3100171
2023-06-20,737.400024,741.255981,736.799988,737.200012,737.057068,1680723
2023-06-21,733.799988,738.255981,732.120972,736.700012,736.557190,1588537
2023-06-22,730.400024,731.460022,726.599976,731.400024,731.258240,6022045
2023-06-23,728.799988,730.799988,725.299988,727.599976,727.458923,1955296
2023-06-26,728.400024,729.400024,721.460022,726.799988,726.659058,2504326
2023-06-27,729.200012,731.299988,724.099976,727.500000,727.358948,2649669
2023-06-28,729.200012,732.900024,728.940002,731.400024,731.258240,1610226
2023-06-29,731.400024,732.299988,727.400024,728.700012,728.558716,1589956
2023-06-30,730.400024,736.159973,729.606018,734.200012,734.057678,1968560
2023-07-03,734.599976,737.099976,732.400024,733.900024,733.757751,1735471
2023-07-04,733.500000,735.799988,732.700012,733.200012,733.057861,2503926
2023-07-05,730.500000,732.599976,724.799988,726.099976,725.959229,4123442
2023-07-06,721.299988,721.400024,708.599976,709.900024,709.762329,3179831
2023-07-07,707.900024,709.460022,704.840027,707.400024,707.262878,2259809
2023-07-10,706.000000,712.400024,705.000000,709.400024,709.262451,2716856
2023-07-11,709.099976,711.400024,706.000000,710.400024,710.262329,3947217
2023-07-12,712.099976,724.500000,710.400024,723.799988,723.659668,3789199
2023-07-13,723.900024,728.049988,723.299988,726.299988,726.159180,3427178
2023-07-14,724.599976,729.987976,723.000000,725.500000,725.359375,2912866
2023-07-17,722.099976,725.900024,721.169006,723.099976,722.959778,1963670
2023-07-18,722.000000,728.000000,721.299988,727.400024,727.258972,2056558
2023-07-19,732.299988,744.000000,731.099976,740.400024,740.256470,1998756
2023-07-20,741.099976,747.599976,740.770020,746.099976,745.955322,1572948
2023-07-21,746.900024,748.901001,745.299988,747.500000,747.355042,802169
2023-07-24,745.000000,749.900024,745.000000,749.500000,749.354675,1349933
2023-07-25,750.400024,751.700012,748.900024,750.299988,750.154541,3067852
